subjID,is_control,eval_index,eval_id,eval_n_start_ts,rule_text,category,evidence,input_rule_rating,eval_n_end_ts
user_1595363565953,False,1,2,1595364020283,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,89,1595364036911
user_1595363565953,False,2,4,1595364036911,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,98,1595364053154
user_1595363565953,False,3,5,1595364053154,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,2,1595364065864
user_1595363565953,False,4,6,1595364065864,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,22,1595364074962
user_1595363565953,False,5,8,1595364074962,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,95,1595364088167
user_1595363565953,False,6,1,1595364088167,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,16,1595364096335
user_1595363565953,False,7,7,1595364096335,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,71,1595364109798
user_1595363565953,False,8,3,1595364109798,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,24,1595364125691
user_1594252060457,False,1,2,1594253152220,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,10,1594253187493
user_1594252060457,False,2,1,1594253187493,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,5,1594253202198
user_1594252060457,False,3,4,1594253202198,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,82,1594253223361
user_1594252060457,False,4,6,1594253223361,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,67,1594253251549
user_1594252060457,False,5,7,1594253251549,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,57,1594253280045
user_1594252060457,False,6,8,1594253280046,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,71,1594253308621
user_1594252060457,False,7,3,1594253308621,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,35,1594253333010
user_1594252060457,False,8,5,1594253333010,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,25,1594253367585
