Subject,Condition,Trial index,Code block,Trial catches fish,Subject response,FINAL - total mechanisms,FINAL - total shape references,FINAL - abstract shape references,FINAL - concrete shape references,FINAL - total color references,FINAL - abstract color references,FINAL - concrete color references,FINAL - total purple dot references,FINAL - abstract purple dot references,FINAL - concrete purple dot references
user_1594612878367,Explain,1,1,1,It's bright and looks like a small fish.,0,0,0,0,0,0,0,0,0,0
user_1594612878367,Explain,2,1,0,"It looks like it would blend in with the water, and doesn't really have a shape of a small fish or food a fish would eat.",0,0,0,0,0,0,0,0,0,0
user_1594612878367,Explain,3,1,0,It's not the shape of anything naturally occurring in water.,0,0,0,0,0,0,0,0,0,0
user_1594612878367,Explain,4,1,1,It takes the shape of what may look like a small fish.,0,0,0,0,0,0,0,0,0,0
user_1594612878367,Explain,5,1,1,It's bright and eye catching.,0,0,0,0,0,0,0,0,0,0
user_1594612878367,Explain,6,1,0,Not naturally shaped like anything that would be in the water.,0,0,0,0,0,0,0,0,0,0
user_1594612878367,Explain,7,1,1,It doesn't look like anything so I'm unsure why. Maybe at this point it depends on it if has a circle somewhere in the larger shape (looks like an eye).,0,0,0,0,0,0,0,0,0,0
user_1594612878367,Explain,8,1,0,It doesn't look like an animal that would be found underwater.,0,0,0,0,0,0,0,0,0,0
user_1594784254125,Explain,1,1,1,it resembles a fish,0,0,0,0,0,0,0,0,0,0
user_1594784254125,Explain,2,1,0,"it is rounded at the ends, making it hard for fish to catch onto it.",0,0,0,0,0,0,0,0,0,0
user_1594784254125,Explain,3,1,0,the bottom portion is not pointed,0,0,0,0,0,0,0,0,0,0
user_1594784254125,Explain,4,1,1,the pointed end is appealing to fish,0,0,0,0,0,0,0,0,0,0
user_1594784254125,Explain,5,1,1,lures that have sharp ends catch fish,0,0,0,0,0,0,0,0,0,0
user_1594784254125,Explain,6,1,0,round end,0,0,0,0,0,0,0,0,0,0
user_1594784254125,Explain,7,1,1,when the lure has a sharp tip at the end fish are caught,0,0,0,0,0,0,0,0,0,0
user_1594784254125,Explain,8,1,0,round end,0,0,0,0,0,0,0,0,0,0
user_1594183430795,Describe,1,1,1,A red tear drop with a yellow downward facing triangle at the end of the tear. There there a purple circle in the top left of the tear,0,0,0,0,0,0,0,0,0,0
user_1594183430795,Describe,2,1,0,It is a green circle with a blue tear on the top of the circle,0,0,0,0,0,0,0,0,0,0
user_1594183430795,Describe,3,1,0,It is a yellow diamond with a green circle on the bottom. there is a purple tiny circle on the bottom left of the circle,0,0,0,0,0,0,0,0,0,0
user_1594183430795,Describe,4,1,1,it is a blue oval with a yellow star attached to the bottom. there is a purple dot on the top right of the star,0,0,0,0,0,0,0,0,0,0
user_1594183430795,Describe,5,1,1,It is a red circle with a green diamond on the bottom. there is a purple circle on both the circle and the diamond,0,0,0,0,0,0,0,0,0,0
user_1594183430795,Describe,6,1,0,It is a star with a red circle on the bottom,0,0,0,0,0,0,0,0,0,0
user_1594183430795,Describe,7,1,1,It is a tellow diamond with a blue diamond attached to the bottom. there is a purple circle on the top of the yellow diamond,0,0,0,0,0,0,0,0,0,0
user_1594183430795,Describe,8,1,0,It is a green triangle with a red oval attached to the bottom. they both have a purple circle to the left of the shape,0,0,0,0,0,0,0,0,0,0
user_1594249910833,Describe,1,1,1,red teardrop with a purple circle inside on the left hand side; inverted yellow triangle below it,0,0,0,0,0,0,0,0,0,0
user_1594249910833,Describe,2,1,0,green circle with a blue teardrop below it,0,0,0,0,0,0,0,0,0,0
user_1594249910833,Describe,3,1,0,yellow diamond with a green circle below it that has a purple circle inside on the right hand side,0,0,0,0,0,0,0,0,0,0
user_1594249910833,Describe,4,1,1,blue oval with a yellow star below it which has a purple dot inside of it,0,0,0,0,0,0,0,0,0,0
user_1594249910833,Describe,5,1,1,"red circle with a purple dot inside of it, green diamond with a purple dot inside of it below the circle",0,0,0,0,0,0,0,0,0,0
user_1594249910833,Describe,6,1,0,blue star with a red small circle below it,0,0,0,0,0,0,0,0,0,0
user_1594249910833,Describe,7,1,1,"yellow diamond with a purple dot inside of it near the top, blue diamond below the yellow diamond",0,0,0,0,0,0,0,0,0,0
user_1594249910833,Describe,8,1,0,"green inverted triangle with a purple dot inside on the upper left corner, below it is a red oval with a purple dot inside of it",0,0,0,0,0,0,0,0,0,0
user_1594761367006,Describe,1,1,1,A triangle attached to a waterdrop-shaped lure with a circle inside.,0,0,0,0,0,0,0,0,0,0
user_1594761367006,Describe,2,1,0,A waterdrop attached to a big circle,0,0,0,0,0,0,0,0,0,0
user_1594761367006,Describe,3,1,0,A small circle with a smaller circle inside attaching to a rhombus shape,0,0,0,0,0,0,0,0,0,0
user_1594761367006,Describe,4,1,1,A star-shaped lure with a small circle inside attached to an oval-shaped lure,0,0,0,0,0,0,0,0,0,0
user_1594761367006,Describe,5,1,1,A rhombus with a small circle inside it attaching to a larger circle with a small circle inside it,0,0,0,0,0,0,0,0,0,0
user_1594761367006,Describe,6,1,0,a star-shaped lure attached to a circle-shaped lure,0,0,0,0,0,0,0,0,0,0
user_1594761367006,Describe,7,1,1,a triangle attached to a larger triangle with a small circle inside,0,0,0,0,0,0,0,0,0,0
user_1594761367006,Describe,8,1,0,an oval-shaped lure with a smaller circle inside it attached to a triangle-shaped lure with a circle inside it,0,0,0,0,0,0,0,0,0,0
user_1595623184030,Describe,1,1,1,Yellow triangle with a red raindrop on top and a purple circle,0,0,0,0,0,0,0,0,0,0
user_1595623184030,Describe,2,1,0,Green circle with blue raindrop,0,0,0,0,0,0,0,0,0,0
user_1595623184030,Describe,3,1,0,Yellow diamond with a green circle and small purple circle,0,0,0,0,0,0,0,0,0,0
user_1595623184030,Describe,4,1,1,blue oval with yellow star with a small purple circle,0,0,0,0,0,0,0,0,0,0
user_1595623184030,Describe,5,1,1,red circle w purple circle and green diamond with purple circle,0,0,0,0,0,0,0,0,0,0
user_1595623184030,Describe,6,1,0,blue star with red circle,0,0,0,0,0,0,0,0,0,0
user_1595623184030,Describe,7,1,1,yellow diamond w purple circle and blue diamond,0,0,0,0,0,0,0,0,0,0
user_1595623184030,Describe,8,1,0,green triangle and red oval,0,0,0,0,0,0,0,0,0,0
user_1595530571067,Explain,1,1,1,the fish wasnt certain,0,0,0,0,0,0,0,0,0,0
user_1595530571067,Explain,2,1,0,the fish was certain,0,0,0,0,0,0,0,0,0,0
user_1595530571067,Explain,3,1,0,the bottom of the lure is round,0,0,0,0,0,0,0,0,0,0
user_1595530571067,Explain,4,1,1,the bottom of the lure is pointed,0,0,0,0,0,0,0,0,0,0
user_1595530571067,Explain,5,1,1,the bottom of the lure is pointed,0,0,0,0,0,0,0,0,0,0
user_1595530571067,Explain,6,1,0,the bottom of the lure is rounded,0,0,0,0,0,0,0,0,0,0
user_1595530571067,Explain,7,1,1,the bottom of the lure is pointed,0,0,0,0,0,0,0,0,0,0
user_1595530571067,Explain,8,1,0,the bottom of the lure is rounded,0,0,0,0,0,0,0,0,0,0
user_1594176661687,Explain,1,1,1,1,0,0,0,0,0,0,0,0,0,0
user_1594176661687,Explain,2,1,0,1,0,0,0,0,0,0,0,0,0,0
user_1594176661687,Explain,3,1,0,1,0,0,0,0,0,0,0,0,0,0
user_1594176661687,Explain,4,1,1,1,0,0,0,0,0,0,0,0,0,0
user_1594176661687,Explain,5,1,1,1,0,0,0,0,0,0,0,0,0,0
user_1594176661687,Explain,6,1,0,1,0,0,0,0,0,0,0,0,0,0
user_1594176661687,Explain,7,1,1,1,0,0,0,0,0,0,0,0,0,0
user_1594176661687,Explain,8,1,0,1,0,0,0,0,0,0,0,0,0,0
user_1595907288290,Describe,1,1,1,"red raindrop with a purple dot on the right upper side. under, there is a yellow cone.",0,0,0,0,0,0,0,0,0,0
user_1595907288290,Describe,2,1,0,"green circle on top,blue raindrop on bottom",0,0,0,0,0,0,0,0,0,0
user_1595907288290,Describe,3,1,0,"yellow diamond on top, and green olive with red dot on bottom",0,0,0,0,0,0,0,0,0,0
user_1595907288290,Describe,4,1,1,"blue oval on top, yellow sparkle with red dot on bottom",0,0,0,0,0,0,0,0,0,0
user_1595907288290,Describe,5,1,1,red circle on top with purple dot. green diamond on bottom with red dot.,0,0,0,0,0,0,0,0,0,0
user_1595907288290,Describe,6,1,0,"blue sparkle on top, red circle bottom",0,0,0,0,0,0,0,0,0,0
user_1595907288290,Describe,7,1,1,"yello diamond with purple dot on top, blue diamond on bottom",0,0,0,0,0,0,0,0,0,0
user_1595907288290,Describe,8,1,0,green triangle with purple dot on top and red oval with purple dot on bottom,0,0,0,0,0,0,0,0,0,0
user_1594916040377,Describe,1,1,1,"Red big one, a small purple, and a triangle yellow",0,0,0,0,0,0,0,0,0,0
user_1594916040377,Describe,2,1,0,Green ball with a drop like blue,0,0,0,0,0,0,0,0,0,0
user_1594916040377,Describe,3,1,0,Yellow spade with a green round and a purple dot,0,0,0,0,0,0,0,0,0,0
user_1594916040377,Describe,4,1,1,Big round blue with a star like yellow and a purple,0,0,0,0,0,0,0,0,0,0
user_1594916040377,Describe,5,1,1,"Two purple dots, a green spade and a big red round",0,0,0,0,0,0,0,0,0,0
user_1594916040377,Describe,6,1,0,A star like blue with red round,0,0,0,0,0,0,0,0,0,0
user_1594916040377,Describe,7,1,1,"A purple dot, two spades one is yellow another one is blue",0,0,0,0,0,0,0,0,0,0
user_1594916040377,Describe,8,1,0,A green triangle with two purple dots and a semi-shaped red,0,0,0,0,0,0,0,0,0,0
user_1595132974991,Describe,1,1,1,a yellow arrow pointing down with a red water droplet on top and a purple circle on the top left of the droplet,0,0,0,0,0,0,0,0,0,0
user_1595132974991,Describe,2,1,0,a large green circle with a blue water droplet coming from it,0,0,0,0,0,0,0,0,0,0
user_1595132974991,Describe,3,1,0,a yellow diamond with a smaller green circle under it with a small purple ball on the bottom right,0,0,0,0,0,0,0,0,0,0
user_1595132974991,Describe,4,1,1,a blue oval with a yellow plus sign on the bottom and a small circle near the middle of it,0,0,0,0,0,0,0,0,0,0
user_1595132974991,Describe,5,1,1,"a red cirle with a small purple cirlce ner the middl eon the right and under it, a green diamond with a purle cirlce on the right",0,0,0,0,0,0,0,0,0,0
user_1595132974991,Describe,6,1,0,a blue throwng star with a red cirlce under it,0,0,0,0,0,0,0,0,0,0
user_1595132974991,Describe,7,1,1,"a yellow diamon with a purle cirle at the top right, a blue diamond hanging form the yellow one",0,0,0,0,0,0,0,0,0,0
user_1595132974991,Describe,8,1,0,"a green upside down triange with a cirlce at the top left, a red vertical oval at the point with a cirlce in the middle towards the lft",0,0,0,0,0,0,0,0,0,0
user_1595110390402,Explain,1,1,1,"It slightly resembles a smaller fish, but rotated 90 degrees",0,0,0,0,0,0,0,0,0,0
user_1595110390402,Explain,2,1,0,It looks like an Alaia earring from the 2000's–even I wouldn't be tempted.,0,0,0,0,0,0,0,0,0,0
user_1595110390402,Explain,3,1,0,It doesn't replicate a fish shape.,0,0,0,0,0,0,0,0,0,0
user_1595110390402,Explain,4,1,1,It more closely resembles a fish's body shape.,0,0,0,0,0,0,0,0,0,0
user_1595110390402,Explain,5,1,1,It seems to follow the trend of having an inner circle with a bigger shape on top followed by a smaller shape on the bottom.,0,0,0,0,0,0,0,0,0,0
user_1595110390402,Explain,6,1,0,It looks too irregular to resemble food.,0,0,0,0,0,0,0,0,0,0
user_1595110390402,Explain,7,1,1,Because it follows the circle in the middle of the top shape followed by a smaller shape dangling off of the top shape.,0,0,0,0,0,0,0,0,0,0
user_1595110390402,Explain,8,1,0,The top shape has hard corners without a circle in the middle.,0,0,0,0,0,0,0,0,0,0
user_1594252556818,Explain,1,1,1,i dont know maybe because it has a small piece at the end where it can easily bite into,0,0,0,0,0,0,0,0,0,0
user_1594252556818,Explain,2,1,0,maybe because of the circular shape or color,0,0,0,0,0,0,0,0,0,0
user_1594252556818,Explain,3,1,0,shape,0,0,0,0,0,0,0,0,0,0
user_1594252556818,Explain,4,1,1,maybe cause the shape is long and is kinda similar to the teardrop's length,0,0,0,0,0,0,0,0,0,0
user_1594252556818,Explain,5,1,1,don't know,0,0,0,0,0,0,0,0,0,0
user_1594252556818,Explain,6,1,0,weird shape,0,0,0,0,0,0,0,0,0,0
user_1594252556818,Explain,7,1,1,not sure,0,0,0,0,0,0,0,0,0,0
user_1594252556818,Explain,8,1,0,weird shape,0,0,0,0,0,0,0,0,0,0
user_1595364343391,Describe,1,1,1,The red object lured the fish.,0,0,0,0,0,0,0,0,0,0
user_1595364343391,Describe,2,1,0,Some object will lure the fish.,0,0,0,0,0,0,0,0,0,0
